"category_id","product_id","product_name","price","colour_code","colour","description","size","section","product_family","product_subfamily","care","materials_description","materials","dimension","low_on_stock","availability","image","sku","url","currency","you_may_also_like"
418106673,418098662,"STRIPED DENIM JACKET",1999,104,"striped","Relaxed fit cotton denim jacket. Featuring a high neck, long sleeves, welt pockets at the hip, an inside pocket and a faded effect. Ribbed trims. Zip fastening at the front.",,"MAN","CAZADORA","F. Cazadora","{""instructions"":[]}",,,,false,true,[],"418106673-104-2","https://www.zara.com/za/en/-s-t-r-i-p-e-d---d-e-n-i-m---j-a-c-k-e-t--p01538503.html?v1=418106673&v2=2510565","ZAR",
417461879,415115702,"DRAPIRANA BLUZA OD POLIAMIDA",1990,660,"vino","Bluza sa drapiranim izrezom i dugim rukavima. Drapirana tkanina.",,"WOMAN","TOPS Y OTRAS P.","C.CTAS BASICAS","{""instructions"":[]}",,,,false,true,[],"417461879-660-2","https://www.zara.com/rs/sr/drapirana-bluza-od-poliamida-p03641315.html?v1=417461879&v2=2419940","RSD",
419599535,419594875,"PLAIN KNIT MINI SKIRT",329,511,"Pistachio","High-waist skirt with an elastic waistband.",,"WOMAN","FALDA","PUNTO FALDA","{""instructions"":[]}",,,,false,true,[],"419599535-511-2","https://www.zara.com/se/en/plain-knit-mini-skirt-p02756011.html?v1=419599535","SEK",
420111090,420108632,"TWILL BELTED VEST",49.9,700,"Brown","Lapel collar vest. Front flap pockets. Self-tie belt. Front button closure.",,"WOMAN","CHALECO","C.CTAS FANTASI","{""instructions"":[]}",,,,false,true,[],"420111090-700-2","https://www.zara.com/us/en/twill-belted-vest-p03644167.html?v1=420111090","USD",
410597873,410596293,"CHECK KNIT CARDIGAN",39.95,407,"Blue","High-neck, long sleeve jacket. Front patch pockets. Elasticated trims. Zip-up front.",,"WOMAN","CHAQUETA","PUNTO CHAQUETA","{""instructions"":[]}",,,,false,true,[],"410597873-407-2","https://www.zara.com/gr/en/check-knit-cardigan-p05802004.html?v1=410597873&v2=2419517","EUR",
429753706,427149196,"MAJICA IZ MEŠANICE VISKOZE S KRATKIMI ROKAVI",8.95,800,"Črna","OZEK KROJ - KLASIČNA DOLŽINA - KRATKI ROKAVI

Majica iz viskozne mešanice. Okrogel izrez in kratki rokavi.",,"WOMAN","CAMISETA","C.CTAS BASICAS","{""instructions"":[]}",,,"Majica iz viskozne me&#x161;anice. Okrogel izrez in kratki rokavi.",false,true,[],"429753706-800-2","https://www.zara.com/si/sl/majica-iz-mesanice-viskoze-s-kratkimi-rokavi-p05584315.html?v1=429753706&v2=2420417","EUR",
410505924,410502885,"ZW COLLECTION PRINTED RUFFLE DRESS",1999,102,"Grey / Tan","ZARA WOMAN COLLECTION

Long printed dress made of 100% viscose yarn. V-neck and adjustable straps with ties. Featuring tonal ruffle appliqué detail and a lining.",,"WOMAN","VESTIDO","W.VESTIDO","{""instructions"":[]}",,,"Long printed dress made of 100% viscose yarn. V-neck and adjustable straps with ties. Featuring tonal ruffle appliqu&#xE9; detail and a lining.",false,true,[],"410505924-102-1","https://www.zara.com/za/en/zw-collection-printed-ruffle-dress-p05385062.html?v1=410505924&v2=2509383&origin=shopcart","ZAR",
442898839,421165719,"RUFFLED STRIPED KNIT CARDIGAN",45.9,104,"striped","Round neck long sleeve cardigan. Ruffled trim. Front button closure.",,"WOMAN","CHAQUETA","PUNTO CHAQUETA","{""instructions"":[]}",,,,true,false,[],"442898839-104-2","https://www.zara.com/us/en/ruffled-striped-knit-cardigan-p04331020.html?v1=442898839&v2=2419844","USD",
410585553,410583351,"MESH SNEAKERS",42.9,1,"White","Sneakers with mesh detail. Adjustable lace closure. Back pull tab for easy on and off. Flexible insole and 100% cotton lining. Rubber sole. 

STARFIT® TECHNICAL INSOLE FOAM: Flexible technical insole made of polyurethane foam. Comfort, cushioning and durability.",,"KID","DEPORTIVO","Z3KO:DEPORTIVO","{""instructions"":[]}",,,"STARFIT&#xAE; TECHNICAL INSOLE FOAM: Flexible technical insole made of polyurethane foam. Comfort, cushioning and durability.",false,true,[],"410585553-001-21","https://www.zara.com/us/en/mesh-sneakers-p16313530.html?v1=410585553","USD",
413565421,413558781,"RELAXED FIT KNIT T-SHIRT",49.9,733,"Cream","Relaxed fit knit T-shirt in a cotton blend yarn. Crew neck and short sleeves. Ribbed trim.",,"MAN","JERSEY","B. Jersey M/C","{""instructions"":[]}",,,,false,true,[],"413565421-733-2","https://www.zara.com/us/en/relaxed-fit-knit-t-shirt-p05536431.html?v1=413565421&v2=2432265","USD",
422964204,365700028,"POINTED CHELSEA BOOTS",4950,709,"Dark tan","Chelsea boots. Plain upper. Features elasticated side gores and a back pull tab for slipping on with ease. Pointed toe.",,"MAN","BOTIN","Z2:BOTA/BOTIN","{""instructions"":[]}",,,,false,false,[],"422964204-709-39","https://www.zara.com/in/en/chelsea-boots-with-pointed-toe-p12001420.html?v1=365701993&v2=2436391","INR",
410458705,410457159,"GOLD WOODEN WALL MIRROR",89.99,303,"Golden","Gold wall mirror with a golden wooden frame.
We recommend attaching the mirror using the screws suitable for each wall and the hinges that you will find at the back of the mirror. Screws not included.",,"HOME","ESPEJOS","ESPEJOS","{""instructions"":[]}",,,"We recommend attaching the mirror using the screws suitable for each wall and the hinges that you will find at the back of the mirror. Screws not included.",false,true,[],"410458705-303-99","https://www.zara.com/ie/en/gold-wooden-wall-mirror-p42377106.html?v1=410458705&v2=2415485","EUR",
411126622,411099450,"SKORT",45.9,800,"Black","Skort with mid waist. Self-belt with fabric-lined buttons. Hidden zip closure at side.",,"WOMAN","BERMUDA","T.BERMUDA","{""instructions"":[]}",,,,false,true,[],"411126622-800-1","https://www.zara.com/us/en/skort-p03067402.html","USD",
423157712,423138717,"JEANS Z1975 JOGGER WIDE LEG HOHER BUND",29.95,407,"Blau","Jeans mit hohem Bund und verstellbarem elastischem Bund mit Kordelzug. Eingrifftaschen vorne und aufgesetzte Gesäßtaschen. Weites Bein.",,"WOMAN","PANTALON","B.PANT.PAQUETER","{""instructions"":[]}",,,,false,true,[],"423157712-407-1","https://www.zara.com/de/de/jeans-z1975-jogger-wide-leg-hoher-bund-p01889159.html?v1=423157712&v2=2420285","EUR",
431926939,427570265,"T-SHIRT DUPLA",15.95,401,"Azul-marinho","SLIM FIT - DECOTE REDONDO - COMPRIMENTO NORMAL - MANGA CURTA

T-shirt confecionada em fio com algodão. Decote redondo e manga curta. Acabamentos com tecido combinado a contraste.",,"WOMAN","CAMISETA","C.CTAS BASICAS","{""instructions"":[]}",,,"T-shirt confecionada em fio com algod&#xE3;o. Decote redondo e manga curta. Acabamentos com tecido combinado a contraste.",false,true,[],"431926939-401-2","https://www.zara.com/pt/pt/t-shirt-dupla-p05644318.html?v1=431926939&v2=2419517","EUR",
446351051,431663182,"SHORT FLORAL PRINT DRESS",59.9,330,"Multicolored","Round neck dress with a V-neckline and long sleeves. Drawstring belt detail and faux front buttons. Interior lining. Hidden in-seam side zipper closure.",,"WOMAN","VESTIDO","B.VESTIDO","{""instructions"":[]}",,,,false,true,[],"446351051-330-1","https://www.zara.com/us/en/short-floral-print-dress-p05029072.html?v1=446351051&v2=2546081","USD",
431633688,397845878,"INTERLOCK KNIT TROUSERS WITH VENTS",25.99,800,"Black","Knitted trousers in a stretchy, flexible fabric with a compact, soft and opaque weave. High waist and elasticated waistband. Topstitching detail on the front. Hems with side vents.",,"WOMAN","PANTALON","C.PTON-LEGGING","{""instructions"":[]}",,,,true,false,[],"431633688-800-2","https://www.zara.com/uk/en/interlock-knit-trousers-with-vents-p03641860.html?v1=397850620&v2=2467841","GBP",
416272690,415390571,"INTERLOCK V-NECK TOP",22.99,681,"Burgundy","Top made of soft, opaque, and compact stretch knit fabric. V-neck and long sleeves.",,"WOMAN","TOPS Y OTRAS P.","C.CTAS BASICAS","{""instructions"":[]}",,,,true,false,[],"416272690-681-1","https://www.zara.com/us/en/interlock-v-neck-top-p04174152.html?v1=416272690","USD",
414714855,414694906,"FAUX PATENT LEATHER CHELSEA BOOTS",59.9,800,"Black","Faux patent leather finish ankle boots. Chelsea style. Block heels. Shaft in fabric. Round toe. Back pull tab. 

Heel height: 2.4 inches (6 cm)",,"WOMAN","BOTIN PLANO","Z1B:BOTIN","{""instructions"":[]}",,,"Heel height: 2.4 inches (6 cm)",false,false,[],"414714855-800-35","https://www.zara.com/us/en/faux-patent-leather-chelsea-boots-p12157410.html?LTKLID=gKBqjYj6hPbw7B4JN5xAPA&v1=414714855&sv1=affiliate&sv_campaign_id=136348&awc=21094_1738855397_29e3983edca9a2e8850a78719960494b&utm_source=awin&utm_medium=affiliation&utm_campaign=136348&utm_content=LTK&utm_term=21094_1738855397_29e3983edca9a2e8850a78719960494b","USD",
447036344,412334726,"SATIN KITTEN HEEL SANDALS",49.9,700,"Brown","Satin kitten heel sandals. Thin straps with toe loop. Squared toe.

Heel height: 1.6 inches (4 cm)",,"WOMAN","SANDALIA","Z1T:ABIERTO TAC","{""instructions"":[]}",,,"Heel height: 1.6 inches (4 cm)",false,true,[],"447036344-700-35","https://www.zara.com/us/en/satin-kitten-heel-sandals-p13328510.html?v1=447036344&v2=2419160","USD",
423159083,410592582,"CHAQUETA PUNTO VOLANTES",25.95,802,"Gris","Chaqueta de punto liso con cuello redondo y manga larga. Detalle de acabados con volantes. Cierre frontal con botones.",,"WOMAN","CHAQUETA","PUNTO CHAQUETA","{""instructions"":[]}",,,,false,false,[],"423159083-802-2","https://www.zara.com/es/es/chaqueta-punto-volantes-p02756114.html?v1=385125113&v2=0&ci=385125113&subscription_id=da199605-301c-4b52-8bda-cb78fd6ae725&ssts=20250108150126&utm_medium=email&utm_source=notification_com&utm_campaign=ComingSoon&utm_content=product_detail_button&utm_term=0275611468102-V2025","EUR",
427538819,420924292,"SOFT JACKET WITH POCKETS",899,807,"Anthracite grey","Collared jacket with long sleeves finished in cuffs. Front patch pockets. Front button fastening.",,"WOMAN","CHAQUETA","CTA.FANTASI W-B","{""instructions"":[]}",,,,false,true,[],"427538819-807-1","https://www.zara.com/za/en/-s-o-f-t---j-a-c-k-e-t---w-i-t-h---p-o-c-k-e-t-s--p05070469.html?v1=427538819&v2=2544455","ZAR",
423158555,380955250,"ΜΠΟΥΦΑΝ BIKER ΜΕ ΥΦΗ ΔΕΡΜΑΤΟΣ",25.99,800,"Μαύρο","Μπουφάν με γιακά και πέτο και μακρύ μανίκι με πατ στους ώμους. Μπροστινές τσέπες με κλείσιμο με φερμουάρ. Κάτω μέρος με ασορτί ζώνη με μεταλλική αγκράφα. Κλείσιμο μπροστά σταυρωτό με φερμουάρ.",,"WOMAN","CAZADORA","B.P-EXTER.CORTA","{""instructions"":[]}",,,,false,false,[],"423158555-800-1","https://www.zara.com/gr/el/%CE%BC%CF%80%CE%BF%CF%85%CF%86%CE%B1%CE%BD-biker-%CE%BC%CE%B5-%CE%B5%CF%86%CE%B5-%CE%B4%CE%B5%CF%81%CE%BC%CE%B1%CF%84%CE%BF%CF%82-p03046060.html?v1=380982849","EUR",
416684717,416675976,"BAGGY FLARE-FIT-JEANS",49.95,405,"Indigoblau","Baggy Flare-Fit-Jeans aus Denim ohne Vorwäsche. Dadurch fühlt sie sich am Anfang etwas steif an, was sich mit der Zeit durch das Tragen aber gibt.

Verstellbarer Bund mit Kordel aus dem gleichen Material. Five-Pocket-Stil. Gedrehte Beinnähte. Reißverschluss und Knopf vorne.",,"MAN","PANTALON","F. Pant Denim","{""instructions"":[]}",,,"Verstellbarer Bund mit Kordel aus dem gleichen Material. Five-Pocket-Stil. Gedrehte Beinn&#xE4;hte. Rei&#xDF;verschluss und Knopf vorne.",false,true,[],"416684717-405-36","https://www.zara.com/at/de/flare-fit-jeans-p03991413.html?v1=416684717&v2=2432121","EUR",
436246508,436245829,"PINSTRIPE SUIT PANTS",79.9,401,"Navy blue","Regular fit pants. Front pockets and back welt pockets with button. Front zip and button closure.",,"MAN","PANTALON","Sastrería Pant.","{""instructions"":[]}",,,,false,true,[],"436246508-401-38","https://www.zara.com/ca/en/pinstripe-suit-pants-p04260903.html","CAD",
410590502,410588691,"TOP GILET STRUTTURATO",19.95,800,"Nero","Top gilet realizzato in tessuto strutturato. Scollo a v e giromanica. Chiusura frontale con bottoni.",,"WOMAN","CHALECO","C.CTAS BASICAS","{""instructions"":[]}",,,,false,true,[],"410590502-800-2","https://www.zara.com/it/it/top-gilet-strutturato-p05039277.html?v1=410590502&v2=2419940","EUR",
